row_id,language,review_scope,category,title,observed_issue,native_expectation,example,conversation_ref,severity,human_note
d3e957d97cba11495e30,es,retained_factor_clause,Grammatical gender agreement,Gender of nouns and adjective/article agreement,"Mis-genders or mis-agrees, esp. tricky nouns: 'la problema', 'el reserva', 'un orden' (for sequence), wrong adjective ending 'la vuelo cancelada'","el problema, la reserva, el vuelo cancelado, la tarjeta bloqueada; agreement is automatic across article+noun+adjective+participle",,,3 – breaks the illusion,
dbbb6d005670cca141bc,es,retained_factor_clause,Formal vs informal (usted/tú),Clitic/possessive agreement with usted,"Keeps usted in the verb but slips to informal clitics/possessives: 'le confirmo tu correo', 'te mando su factura'","Person is consistent: 'le confirmo su correo', 'le envío su factura'. Mixed te/su in one breath instantly flags a non-native",,,3 – breaks the illusion,
de7815ba688927cb5aeb,es,retained_factor_clause,Symbols & code-switching,Verbalizing the email @ and dot,Says 'at' / 'arroba' inconsistently and reads '.com' as 'dot com' or 'punto com' with English 'com',"'@' = 'arroba', '.' = 'punto', '_' = 'guion bajo', '-' = 'guion' (or 'guion medio'); 'gmail.com' = 'gmail punto com'. e.g. 'juan arroba gmail punto com'",,,3 – breaks the illusion,
e1cc4e3fed7bb7e94e3c,es,retained_factor_clause,Idiom & word-choice,Translationese for 'I'd like / I need',"Calques English politeness: 'Me gustaría a...', 'Necesito que tú...', overuses 'Puedo tener...' ('Can I have...')","Uses native softeners: 'Quería consultar...', 'Quisiera...', 'Le quería preguntar...', 'A ver si me puede ayudar'. 'Quería' (imperfect) is the idiomatic service opener, not 'quiero'",,,2 – clearly off,
ee796d10405d0c865fb4,es,retained_factor_clause,Turn-taking & backchannels,Confirmation backchannels,Translates 'okay/right/got it' as repeated 'bien'/'okay' or silence,"'vale' (Spain) / 'dale', 'ya', 'ajá', 'de acuerdo', 'perfecto', 'correcto'; affirming comprehension with 'sí, sí' doubled is natural, not emphatic",,,2 – clearly off,
5f4855746c32229f3418,es,speaker_observation,Idiom & word-choice,Calque,"The use of ""subir"" (En., ""go up"") sounds like a calque (assuming the origianl was ""upgrade""). Additionally, uses ""para"" instead of ""a."" Another anglicism is ""business,"" but this is used more deliberately, meaning it was probably an attempt to sound more organic by the IA.

The use of ""compensación"" sounds like a calque (assuming the original was ""compensation"").","A native speaker would probably say something like ""pasar"" (En., ""change,"" in this context) instead of the calque-sounding ""subir,"" or say something more descriptive.","""quiero subir a business para todos los pasajeros."" -> ""quiero pasar a business a todos los pasajeros.""

""compensación"" -> something like ""reembolso"" or ""devolución.""

""la trascripción está incompleta"" -> ""no he terminado de deletrear"" or something along those lines.","Task 10_es at 0:5.200.
Task 38_es at 0.30.200.
Task 39_es (all).",1 – subtle,
904f8b7cf976d33d048a,es,speaker_observation,Disfluencies & fillers,Repetitive utterance starter,Repetitive use of the utterance starter.,A human would use a variety of utterance starters.,"""si, dale"" or ""buenos días.""","Task 24_es, Task 29_es, Task 39_es.",2 – clearly off,
a34c84ff0270b6ede25d,es,speaker_observation,Regional variety (LatAm vs Spain),Forced idioms,The caller uses idioms that are too informal.,A human is unlikely to use those idioms given the context of the call.,"""me tiene podrida,"" ""stoy re caliente.""",Task 2_es at 1:19.800.,2 – clearly off,
a82172749e9cde92310c,es,speaker_observation,Turn-taking & backchannels,Too patient,The AI caller is too patient when the agent asks to spell something and then proceeds to give an example.,A human would interrupt and start spelling what's being asked.,,"Task 10_es at 0:19.800.
Task 16_es at 0:28.000.",2 – clearly off,
ceb4fa0db79b51602782,es,speaker_observation,Turn-taking & backchannels,Repetitive interruptions,"Background noise prevents the agent from interacting when the the caller is not speaking, and when the agent can speak, the caller interrupts by saying the same phrase. This is the dynamic of the entire conversation.",A human would say something different each time (specially after noting that the agent is struggling to speak) and/or hang up the phone.,N/A,"Task 29_es, Task 25_es, Task 39_es.",3 – breaks the illusion,"It's unclear to me what the backround noise actually is (sounds somewhat random), but I don't think it's too loud, meaning the agent should be able to discriminate it."
ea2104b94d8a8075a31f,es,speaker_observation,Turn-taking & backchannels,Self-talk,The caller responds to nothing (replies to the agent when the agent hasn't said anything).,"It follows from ""How the IA caller sounds non-native.""",N/A,Task 24_es (all conversation).,3 – breaks the illusion,
f5b1bb18a8c632564b92,es,speaker_observation,Names,Airport abbreviations,"When the user instructions refer to airports/places by their abbreviations, similarly, the AI caller spells abbreviations.",A human would refer to airports by their cities and/or states.,"""de IAH a SEA"" -> ""de Houston a Seattle.""","Task 10_es at 0:5.200.
Task 32_es at 0:5:200.",2 – clearly off,
f68d82d98d9c70daabe7,es,speaker_observation,Idiom & word-choice,Verb misconjugation,"Conjugates verb ""acordar"" incorrectly.","Conjugates verb ""acordar"" correctly.","""no me lo acuerdo bien"" -> ""no me acuerdo bien"" or ""no lo recuerdo bien.""",Task 10_es at 0:56.600.,1 – subtle,People often make this kind of error -- it's just rare.
044495bd6ff651752fcf,hi,retained_factor_clause,Disfluencies & fillers,Missing natural Hindi fillers/hedges,"Uses no fillers or only English 'um/uh'; produces clean, written-style sentences.","Sprinkles 'मतलब', 'वो क्या है ना', 'actually', 'बस', 'थोड़ा', 'ऐसा है कि', 'यानी'. Hedged openings like 'वो क्या है ना, मेरी flight...' are very common.",,,2 – clearly off,
28ca2f5f8a76267ee3ad,hi,retained_factor_clause,"Numbers (word-forms, gender, dates)",Dates and money in native form,Says dates in English order/month names with ordinals ('April fifteenth') or full Hindi cardinals for rupees with paise.,"Day before month, cardinal day: 'पंद्रह अप्रैल' / '15 तारीख़'; money in rupees with लाख/हज़ार: 'साढ़े तीन हज़ार', 'पाँच हज़ार रुपये'. Uses तारीख़ for 'date' and the lakh system.",,,2 – clearly off,
3a539c6b04461b98facf,hi,retained_factor_clause,"Numbers (word-forms, gender, dates)",Phone/PNR digit grouping and 'double',Reads long numbers as one big Hindi cardinal ('छियानवे करोड़...') or strictly digit-by-digit in Hindi without natural pairing and English 'double'.,"Reads phone numbers in 2–3 digit chunks, often code-switching to English digits, and uses 'double' for repeats: 'double nine', 'नौ-आठ-सात... double-two'.",,,2 – clearly off,
3ee7c425c46dcddb32fe,hi,retained_factor_clause,Idiom & word-choice,Translationese for 'I want to / I would like to',"Calques English politeness: 'मैं चाहूँगा कि...', or stiff 'मुझे ... करने की इच्छा है'.","Uses 'मुझे ... करना है' / '... करवाना है': 'मुझे flight cancel करवानी है'. The causative करवाना (get it done by someone) is the natural service-call verb, not plain करना.",,,2 – clearly off,
446afbb968afd43454b4,hi,retained_factor_clause,Domain terminology,Account/telecom/retail terms kept in English,"Translates account→खाता, password→कूटशब्द, recharge→पुनःभरण, order→आदेश, network→संजाल.","Says account, password/OTP, recharge, plan, order, delivery, network, balance, data in English: 'मेरा OTP नहीं आया', 'recharge fail हो गया', 'order deliver नहीं हुआ'.",,,3 – breaks the illusion,
4ba9071781459377f9f2,hi,retained_factor_clause,Turn-taking & backchannels,Backchannels जी / हाँ जी / अच्छा,"Acknowledges with bare 'हाँ' or English 'okay/yes', missing the ubiquitous जी-based backchannels.","Uses 'जी', 'जी हाँ', 'हाँ जी', 'अच्छा अच्छा', 'ठीक है जी', 'जी बिल्कुल' as continuers. 'जी?' alone signals 'sorry, come again?'.",,,2 – clearly off,
6407ce3b9e3fd55d1933,hi,retained_factor_clause,Politeness / face,Request framing — ज़रा/please and indirect requests,"Issues direct imperatives translated from English ('मेरी booking cancel करो') without softeners, or overuses a literal 'कृपया'.","Softens with 'ज़रा', 'please' (English), and modal 'क्या आप ... सकते हैं?': 'ज़रा check कर दीजिए ना'. कृपया is written-register; spoken callers prefer ज़रा + please.",,,2 – clearly off,
75fb40cf4b2c1fc94b4e,hi,retained_factor_clause,Idiom & word-choice,'Problem/issue' and complaint vocabulary,Uses समस्या/कठिनाई for every problem and शिकायत-दर्ज stiffly.,"Says 'problem'/'issue'/'दिक्कत'/'परेशानी': 'मुझे एक दिक्कत आ रही है', 'issue ये है कि...', 'complaint करनी है'. समस्या is fine but दिक्कत/issue dominate calls.",,,1 – subtle,
a8bc4fc5780789f5b029,hi,retained_factor_clause,"Numbers (word-forms, gender, dates)",Time of day and relative time,Uses 24-hour or stiff 'पूर्वाह्न/अपराह्न'; literal 'morning ten o'clock'.,"12-hour with सुबह/शाम/रात/दोपहर and बजे: 'सुबह दस बजे', 'शाम साढ़े छह बजे'; relative time 'परसों', 'अगले हफ़्ते', 'कल'.",,,1 – subtle,
ab596c82876b4c9f80fd,hi,retained_factor_clause,Code-switching (Hinglish),Over-translating domain nouns into shuddh Hindi,"Renders core service terms in pure/Sanskritized Hindi — उड़ान (flight), आरक्षण (booking), निरस्तीकरण (cancellation), धनवापसी (refund) — sounding like a news broadcast, not a phone customer.","Keeps these in English inside a Hindi matrix: 'मेरी flight cancel हो गई', 'booking change करनी है', 'refund कब आएगा'. Real callers say flight/booking/cancel/refund/seat/PNR in English and inflect Hindi around them.",,,3 – breaks the illusion,
b4577798692f11040a14,hi,retained_factor_clause,Symbols & code-switching,Verbalizing email symbols @ . _ -,"Speaks symbols in literal Hindi calques (डॉट as बिंदु, underscore as अधोरेखा, hyphen as योजक) or omits them.","Uses the conventional spoken-English tokens embedded in Hindi: 'एट द रेट' (or 'एट') for @, 'डॉट' for ., 'अंडरस्कोर' for _, 'डैश/हाइफ़न' for -, and 'gmail डॉट com'. Local-part letters spelled in English alphabet names.",,,3 – breaks the illusion,
bc1861e0965c78be87f9,hi,retained_factor_clause,Honorific/formality (aap/tum/tu),Honorific-plural verb agreement with आप,"Pairs आप with singular verb endings ('आप बता', 'आप कर सकता है') or mixes आप and तुम; uses तुम/तू toward an agent.","आप always takes plural agreement and -इए imperative: 'आप बता सकते हैं', 'ज़रा देख लीजिए', 'आप बताइए'. Customer↔agent stays mutually आप; तुम/तू would be rude.",,,3 – breaks the illusion,
d3968f88279cedd8edca,hi,retained_factor_clause,Idiom & word-choice,'Has happened / got done' aspect with हो गया,"Uses plain present/past calqued from English ('मेरा payment fail है', 'booking cancel है') instead of the resultative.","Marks completed events with हो गया/गई: 'payment fail हो गया', 'booking cancel हो गई', 'पैसे कट गए'. 'कट गए' (money got deducted) is the idiomatic complaint phrasing.",,,2 – clearly off,
dcd65df07e1a047e51f7,hi,retained_factor_clause,Register & formality,Over-formal Sanskritized connectives,"Uses written-register connectives: 'इसलिए', 'परंतु', 'तथा', 'अतः', 'धन्यवाद' stiffly throughout.","Spoken register uses 'तो', 'लेकिन/पर', 'क्योंकि', 'और', and ends with 'thank you'/'शुक्रिया' rather than formal धन्यवाद; परंतु/तथा/अतः sound like a textbook.",,,2 – clearly off,
e25768937c98a79ae073,hi,retained_factor_clause,Turn-taking & backchannels,Opening and closing routines,"Opens with a literal 'नमस्ते, मैं आपकी कैसे मदद कर सकता हूँ' from the customer side, or closes with bare English 'bye'.","Caller opens 'हाँ जी, हेलो' / 'जी, बात हो रही है ...?' and states the issue; closes 'ठीक है जी, थैंक्यू'. 'हेलो' (not नमस्ते) is the default phone opener.",,,1 – subtle,
fc5d0a49d8b70bb6bf96,hi,retained_factor_clause,"Entities (booking refs, codes)",Spelling alphanumeric codes (PNR) letter by letter,"Pronounces a PNR/booking code as a word or uses Hindi letter names (क ख ग), with no spelling-alphabet anchoring.","Spells codes using English letter names with Hindi connectors: 'capital A, फिर 7, Z, K'; agents confirm 'Z for zebra?'-style anchors in English. Codes use the Roman alphabet, not Devanagari.",,,2 – clearly off,
25b2d0f4b319fd59601b,hi,speaker_observation,"Numbers (word-forms, gender, dates)","agent refers itself as 3rd person like ""ढूंढता/ढूंढती हूँ""","""इस user id से आपका प्रोफ़ाइल ढूंढता/ढूंढती हूँ।"", ""माफ़ कमैं समझ सकता/सकती हूँ """,A  speaker should use one form of addressing itself,,,2 – clearly off,
25f98e5761b5b7636e53,hi,speaker_observation,Turn-taking & backchannels,Delayed response,agent sometimes have delayed response which can be frustrating for caller and one of the reason for call drop as well,,,,2 – clearly off,
5fe14a92c466232eca14,hi,speaker_observation,Names,Literal reading the script,"Agent use airport abbrevations as is like LAX, DEN, EWR,","Normally when talking about air tickets we use full cities name like ""आपकी फ्लाइट लॉस एंजिल्स से लास वेगास की है""",,,2 – clearly off,
85ab35f3cafbc1c5e5ee,hi,speaker_observation,Idiom & word-choice,too happy/ uncommon phrase/extra pharsing,बहुत ख़ुशी हुई मदद करके। आप आराम से email का इंतज़ार करें।,"Locals would say "" मुझे ख़ुशी हुई मदद आपकी करके, धन्यवाद""",,,2 – clearly off,
a36d869125e37c3a3a73,hi,speaker_observation,Tones (meaning/word choice),Robotic,"Male User tone is very robotic with no emotions, like reading a script without pauses and expressions are too loud and same montonous tone",,,,2 – clearly off,
aa20abb229ae1ebc6d72,hi,speaker_observation,Idiom & word-choice,Very Formal Word choices compare and adds polite Ji after greetings,"words ""Aadabji"" ""एक क्षण""","common hinid phrase will be ""जरा रुकिए"" or ""एक मिनट"" also greeting wont have ji as suffix",,,2 – clearly off,
bb2a80396374d54c94a7,hi,speaker_observation,Turn-taking & backchannels,dialogue becomes fast and overlaps,"ji, theek hai, acha these shows active listening but often cuts off the main sapeaker and agent misses on completing the important information and continues in assumption",,,,2 – clearly off,
ead7081623167d192f7f,hi,speaker_observation,Turn-taking & backchannels,too patient,"Agent  and user are too patient and keep repeating the requests , like to spell out its user id.",A normal human would interrupt to correct if wrong,,,2 – clearly off,
fbb8547d81548ffbb7cf,hi,speaker_observation,Idiom & word-choice,words that are not native to the locale,"In between conversation it uses words like ""Mane""","local would use ""मुझे""",,,2 – clearly off,
1050410efaa868ac2193,ko,retained_factor_clause,Politeness / face,Indirectness and -는데요 trailing,States needs as complete blunt sentences ('환불해 주세요. 이유는…') in English problem-then-request order,Trails off with -는데요 / -아서요 leaving the request implied (어제 결제가 두 번 됐는데요…). This collaborative incompleteness is core to Korean service talk.,,,2 – clearly off,
28cadedaaf67c11c4ece,ko,retained_factor_clause,Idiom & word-choice,Request softeners and grammar of asking,Direct calques: '도와줄 수 있어요?' / uses 원하다 for 'I want' (저는 환불을 원해요),Native: 환불 받고 싶은데요 / 환불 좀 해 주세요 / 확인 좀 부탁드려요. The trailing -는데요 to soften and 좀 as a softener are essential; 원하다 sounds like a translated demand.,,,2 – clearly off,
29ae28a4a25d84b54baf,ko,retained_factor_clause,Honorifics / speech levels (존댓말),Over- or mis-applied subject honorific -시-,Sprinkles -시- everywhere or applies it to the customer's own actions (제가 예약하셨어요),Customer never honorifics their own verbs (제가 예약했어요); applies -시- only to the agent/third party. Agent uses -시- on the customer's actions (고객님 예약하셨어요?).,,,2 – clearly off,
4089d39efb882e765c1d,ko,retained_factor_clause,Disfluencies & fillers,Native hesitation fillers,Inserts English-shaped fillers or none; over-clean speech,"Uses 그…, 저기요, 음…, 아 그, 뭐랄까, 잠시만요. 저기 / 저기요 as a softening opener to get attention is distinctly native.",,,1 – subtle,
482d74814d1894eddb28,ko,retained_factor_clause,"Numbers (word-forms, gender, dates)",Phone number readout conventions,"Reads 0 as '제로'/'영' inconsistently, says 공일공 vs reading clusters as large numbers","Reads digit-by-digit in Sino with 공 for 0 (공일공 = 010); 1588 read 일오팔팔. Korean uses 공, not 영 or 제로, on the phone.",,,3 – breaks the illusion,"영(Yeong) is used in math, temperature, scores  while 공(Gong) is mainly used when reading phone numbers, bank account numbers, vehicle plate numbers, and so on
 Example: 010 is read as “gong-il-gong” (공일공)."
5113f075e60055bd4392,ko,retained_factor_clause,Counters / number systems,Sino- vs native number system confusion,"Picks one system; says 세 시간 as 삼 시간, or counts items with Sino (일, 이, 삼 개)","Hours use native (세 시간, 한 시), minutes use Sino (삼십 분); 두 명, 세 개 (native + counter) vs 삼 번, 오 층 (Sino). Mixing within one phrase (세 시 삼십 분) is the native default.",,,2 – clearly off,This is an important and tricky part of Korean involving the native vs. Sino-Korean numeral distinction.
57db0acfc53e2acb8253,ko,retained_factor_clause,"Numbers (word-forms, gender, dates)",Currency amounts in 만/억 grouping,"Reads large won by Western thousands grouping (오십 천 원 for 50,000)","Groups by 만: 50,000 = 오만 원, 150,000 = 십오만 원, 1,200,000 = 백이십만 원. 오십 천 원 is impossible for a native. 원 always Sino.",,,3 – breaks the illusion,
868156ec8dbd40a1122f,ko,retained_factor_clause,Tones (meaning/word choice),Rising 네? vs flat 네,"Produces flat intonation on 네 regardless, losing the question/agreement distinction","네 (flat) = yes/agreement; 네? (sharp rise) = 'sorry, what?'; 네~ (long fall) = soft acknowledgment. A flat 네 where 네? is needed misfires the turn.",,,2 – clearly off,
893333e4f9b73907314c,ko,retained_factor_clause,Counters / number systems,Wrong or omitted counters (분류사),"Drops counters or uses 개 for everything (사람 두 개, 표 한 개)","Selects the right counter: 두 분/두 명 (people, 분 honorific), 한 장 (tickets/cards), 한 건 (cases/bookings), 한 통 (calls). 예약 한 건, 항공권 두 장.",,,2 – clearly off,
bff9aaa448fcc8f202e9,ko,retained_factor_clause,Domain terminology,Translationese for core service nouns,"Calques English: '비행' for flight, '북킹' or '리저베이션', '리펀드', '캔슬'","Uses established terms: 항공편 (flight), 예약 (booking), 환불 (refund), 취소 (cancellation), 변경 (change), 수수료 (fee). A calque instantly marks non-native.",,,1 – subtle,캔슬(Cancel) is commonly used by Koreans in everyday conversation.
d9e0a0caf13c2567948d,ko,retained_factor_clause,"Names (order, titles)",Name order and title attachment,"Western first-last order; attaches 씨 to family name only (김씨), or uses 씨 where service requires 고객님/님","Family name first (김길동); agent addresses customer as 고객님 or 길동 님, never 김 씨 alone (rude). Service register strongly prefers 고객님.",,,2 – clearly off,
e5ba61db0dac89719a75,ko,retained_factor_clause,Tones (meaning/word choice),Sentence-final -요 rise vs fall (statement vs question),Uses uniform intonation so 환불 됐어요 (statement) and 환불 됐어요? (question) sound identical,Korean often marks yes/no questions by rising intonation alone with identical -요 wording; the fall/rise on the final -요 distinguishes confirming vs asking (가능해요↘ vs 가능해요↗).,,,2 – clearly off,
e6f164be5c4326b1063d,ko,retained_factor_clause,Domain terminology,Konglish loanwords that ARE native vs over-correction,Either avoids all loanwords (says 표 awkwardly) or invents wrong ones,"Uses naturalized loanwords where they're the norm: 마일리지, 체크인, 게이트, 포인트, 클레임 — but native words for 예약/환불/취소/좌석/창가. Knowing which slot takes the loanword is the skill.",,,2 – clearly off,"The key skill is knowing which slot the loanword fits into. In Korean, both “표” and “ticket” are commonly used."
e72151ab55d6d829c7d8,ko,retained_factor_clause,"Numbers (word-forms, gender, dates)",Date format and reading (유월/시월),Says dates in English order or uses native numbers for the day; reads month names wrong,"Year-month-day, all Sino: 이천이십육년 유월 이십삼일. June=유월, October=시월 (irregular, not 육월/십월). Getting 유월/시월 right is a strong native marker.",,,3 – breaks the illusion,The pronunciations of “유월” (June) and “시월” (October) are irregular and serve as an important indicator of native vs. non-native distinction.
1057c3eb2fa4ce3c209e,ko,speaker_observation,Tones (meaning/word choice),Repeated use of overly formal greetings,"The caller unnaturally repeated overly polite expressions, such as ""안녕하십니까"" mid-conversation","""안녕하십니까"" was used only once, at the start of the conversation.","""안녕하십니까"" was used only once, at the start of the conversation.","37_ko [2:21, 3:45, 6:17]",3 – breaks the illusion,"""안녕하십니까""(greeting phrase) was used 4 times in the conversation."
3fdbc6e6233e1bc5d29f,ko,speaker_observation,"Numbers (word-forms, gender, dates)",Mixed English-Korean date format usage,"It did not use the expected Korean format (“5월 17일”), instead mixing English and Korean (“May 십칠”).",5월 17일,May 십칠 → 5월 17일,"43_ko 9 [0:13.800, 1:08.400, 1:25.200, 1:40.200, 2:45.400, 2:52.800, 3:16.000, 3:44, 3:55 5:03, 5:14, 7:15]",1 – subtle,
4781f4c5319624295b0b,ko,speaker_observation,Counters / number systems,Unnatural numeral-counter usage,"The caller used an unnatural numeral-counter combination, saying ""일개"" instead of the natural expression ""한 개.",수하물 한개,수하물 일개→ 수하물 한개,"29_ko [0:15.6 2:31, 3:13.4]",1 – subtle,
5385e1c50741a7e8c221,ko,speaker_observation,Tones (meaning/word choice),Failed to translate into Korean,Boston departure,보스톤 출발,Boston departure → 보스톤 출발,42_ko [1:13.600],2 – clearly off,
6e6aac987ea3efe1a162,ko,speaker_observation,"Names (order, titles)",Wrong pronunciation,The name“mohamed_hernandez_5188” was pronounced incorrectly.,mohamed_hernandez_5188 (엠오에이치에이엠이디 언더스코어 에이치이알엔디이제트 언더스코어 오일팔팔),mo((not clearly pronounced) → 엠오에이치에이엠이디 언더스코어 에이치이알엔디이제트 언더스코어 오일팔팔,"43_ko 9 [0:29, 3:16]",2 – clearly off,
87289d790911fcb6e1b4,ko,speaker_observation,Counters / number systems,Mispronounced numeric ID (English + unclear digits),The number “22” was also pronounced incorrectly (“이십two”) instead of the Korean form “이십이”.,이십이,이십two → 이십이,42_ko [1:13.600],2 – clearly off,
a0a52d8ec870c3b3da2a,ko,speaker_observation,Tones (meaning/word choice),Awkawd phrasing,There is a awkward phrases “승객은 한 명만입니다”,승객은 한 명입니다,승객은 한 명만입니다 → 승객은 한 명입니다,25_ko [1:55],1 – subtle,
cbcc445fac979d050c0a,ko,speaker_observation,Tones (meaning/word choice),Awkawd phrasing,The expression “여보세요. 들리고 있습니다” is awkward. The natural phrasing should be “들립니다”,“들립니다”,들리고 있습니다→  들립니다,21_ko [ 04:34 ],1 – subtle,
d458da78f891940579b3,ko,speaker_observation,"Numbers (word-forms, gender, dates)",Mispronounced numeric ID (English + unclear digits),"It recited the numeric portion of the user ID(1297) in English (“one, two” instead of the expected Korean numerals”), and the remaining digits were not clearly pronounced.",일이구칠,onetwo(unclear)→ 일이구칠,28_ko [0:21],2 – clearly off,
d9be17368cf91fbbdd9c,ko,speaker_observation,"Numbers (word-forms, gender, dates)",Mispronounced numeric ID,"It ncorrectly recited the ""9265"" portion of the user ID as ""9214""",9265,9214→ 9265,"4_ko [0:31, 2:09, 2:49]",2 – clearly off,"The caller incorrectly recited the ""9265"" portion of the user ID in three of the five attempts—once as ""9214""(0:31) and twice with unintelligible speech."
ea8d522b9dacf9ee24c2,ko,speaker_observation,"Numbers (word-forms, gender, dates)",Mixed English-Korean date format usage,"The caller did not use the expected Korean format (“5월 17일”), instead mixing English and Korean (“May 십칠”).",5월 17일,May 십칠 → 5월 17일,"42_ko [0:15.6 2:31, 3:13.4]",1 – subtle,
fbc590dc080942330448,ko,speaker_observation,"Numbers (word-forms, gender, dates)",Mixed English-Korean date format usage,"It did not say “May 27th” in Korean format (“5월 27일”), but instead said “May” 27",5월 27일,May 27일→ 5월 27일,"21_ko [ 0:21, 1:20, 3:47, 4:34]",1 – subtle,
09025bcc21dcea825a51,pt,retained_factor_clause,Formal vs informal (você/o senhor),"Address pronoun: 'você' default, never EP 'tu' conjugation","Mixes in 'tu' with European 2nd-person verb forms ('tu podes', 'tens') or over-formal 'vós'.","'você' as default ('você pode', 'você tem') and 'o senhor/a senhora' for deference with 3rd-person verb; if 'tu' appears (regional), still 3rd-person verb 'tu pode'.",,,2 – clearly off,"Correct. The use of ""tu"" is very colloquial and informal. For a customer support scenario is not appropriate."
0a96600ab5dc9b78ec1e,pt,retained_factor_clause,Idiom & word-choice,'celular' / 'ônibus' / 'trem' not EP lexicon,"Uses European lexicon: 'telemóvel', 'autocarro', 'comboio', 'apelido' (for surname), 'casa de banho'.","'celular' (cell), 'ônibus' (bus), 'trem' (train), 'sobrenome' (surname), 'banheiro' (restroom).",,,3 – breaks the illusion,"Very pertinent as the vocabulary is very diferent in both locales. Several words in pt-BR words mean the exact opposite in pt-PT, and vice-versa."
13b26b4303f7d634e32e,pt,retained_factor_clause,"Numbers (word-forms, gender, dates)",Number gender agreement (dois/duas),"Invariant 'dois' regardless of noun gender: 'dois passagens', 'duzentos malas'.","Agrees: 'duas passagens', 'duzentas malas', 'duas horas'; also 'um'/'uma'.",,,2 – clearly off,
